"ID","MacAddress","Longitude","Latitude","RSSI1","MNC1","IMSI1","CELLID1","RSSI2","MNC2","IMSI2","CELLID2","CreateTime","IsCheckPoint","IsUsed","Speed"
59512610,"001970C14061",120.297689,23.319132,-71,92,466924251104939,40114654,-150,0,NA,40142820,2016-08-01 00:00:12,0,0,NA
59512613,"001970C11715",121.449463,25.072217,-43,92,466924251101815,30407967,NA,NA,NA,NA,2016-08-01 00:00:12,0,0,91
59512614,"001970C1590B",120.21818,23.023607,-53,97,466977100566682,181779431,NA,NA,NA,NA,2016-08-01 00:00:12,0,0,20
59512615,"001970C11933",120.509,23.990818,-62,92,466924251106580,131808269,NA,NA,NA,NA,2016-08-01 00:00:12,0,0,99
59512616,"001970C1419F",121.387195,25.065187,-150,0,NA,20589724,-57,1,466011500791247,51361292,2016-08-01 00:00:12,0,0,NA
59512617,"001970C13FAF",121.577736,25.059376,-150,0,NA,17756911,-37,1,466011501250478,25823520,2016-08-01 00:00:12,0,0,NA
59512618,"001970C11D11",0,0,-59,1,466011501246389,25763094,NA,NA,NA,NA,2016-08-01 00:00:13,0,0,0
59512619,"001970C140B1",120.624625,24.18219,-150,0,NA,27105864,-23,1,466011500798645,130561035,2016-08-01 00:00:13,0,0,NA
59512620,"001970A2F1A2",120.276968,22.646943,-55,92,466924100841081,183420193,NA,NA,NA,NA,2016-08-01 00:00:13,0,0,0
59512621,"001970A2F19C",120.760747,24.396187,-56,92,466924100841074,106915341,NA,NA,NA,NA,2016-08-01 00:00:13,0,0,97
59512622,"001970C13FCD",121.396216,25.076276,-66,1,466011500791257,51437846,-150,0,NA,14673419,2016-08-01 00:00:13,1,0,NA
59512623,"001970C119E5",121.771252,24.740605,-54,97,466977100566654,66560879,NA,NA,NA,NA,2016-08-01 00:00:13,0,0,0
59512624,"001970C15911",120.205287,23.034043,-55,97,466977100566685,181509231,NA,NA,NA,NA,2016-08-01 00:00:13,0,0,0
59512625,"001970C11DAD",121.577978,25.05916,-63,1,466011501250467,25823521,NA,NA,NA,NA,2016-08-01 00:00:13,0,0,0
59512626,"001970C1411D",120.433048,23.592529,-74,1,466011500791408,47468417,-150,0,NA,22317203,2016-08-01 00:00:14,0,0,NA
59512627,"001970C141E9",120.394384,23.498139,-150,0,NA,46109497,-54,92,466924251104979,157706529,2016-08-01 00:00:14,1,0,NA
59512628,"001970C1401B",120.237051,23.041068,-46,1,466011501250449,47837928,-150,0,NA,29717214,2016-08-01 00:00:14,0,0,NA
59512629,"001970C1406F",120.949402,24.72713,-41,92,466924251104890,80259085,-150,0,NA,13580155,2016-08-01 00:00:14,0,0,NA
59512630,"001970C14007",120.867483,24.626374,-74,1,466011500798705,0,-150,0,NA,20159110,2016-08-01 00:00:14,0,0,NA
59512631,"001970C11CD3",121.004547,24.787287,-82,1,466011501246336,0,NA,NA,NA,NA,2016-08-01 00:00:14,1,0,44
59512633,"001970C13F87",121.518032,25.054124,-73,92,466924251104922,15596034,-150,0,NA,17756911,2016-08-01 00:00:15,1,0,NA
59512634,"001970C14259",120.663163,24.208554,-61,1,466011500790709,0,-150,0,NA,26305680,2016-08-01 00:00:15,1,0,NA
59512635,"001970A2F1A6",121.503165,25.050578,-46,92,466924100841088,54534945,NA,NA,NA,NA,2016-08-01 00:00:15,0,0,39
59512636,"001970C140AF",0,0,-78,1,466011500791401,7495942,-150,0,NA,17700388,2016-08-01 00:00:15,0,0,NA
59512637,"001970A2F18E",121.781573,24.737513,-47,97,466977100566646,66566256,NA,NA,NA,NA,2016-08-01 00:00:16,0,0,88
59512638,"001970C13FB3",121.516329,25.054104,-76,1,466011500798686,0,-150,0,NA,17756911,2016-08-01 00:00:16,1,0,NA
59512640,"001970C11D27",120.238155,23.041382,-66,1,466011501246396,182044951,NA,NA,NA,NA,2016-08-01 00:00:17,0,0,39
59512641,"001970C11CC5",121.518445,25.048988,-58,1,466011501246329,25763094,NA,NA,NA,NA,2016-08-01 00:00:17,1,0,10
59512642,"001970C11913",120.620357,24.157307,-56,92,466924251106568,106013471,NA,NA,NA,NA,2016-08-01 00:00:17,0,0,84
59512643,"001970C14193",120.899938,24.675149,-85,92,466924251104964,20163362,-150,0,NA,14619636,2016-08-01 00:00:17,0,0,NA
59512644,"001970C11C89",120.900055,24.675013,-53,1,466011501246319,128018454,NA,NA,NA,NA,2016-08-01 00:00:17,0,0,104
59512645,"001970C11951",121.489385,25.063197,-54,92,466924251106591,30249997,NA,NA,NA,NA,2016-08-01 00:00:17,0,0,35
59512646,"001970C1423F",121.778817,24.772278,-55,1,466011501246414,33292822,-150,0,NA,8776691,2016-08-01 00:00:17,0,0,NA
59512647,"001970C140AD",120.353639,23.380609,-73,1,466011500790710,47341694,-150,0,NA,33514126,2016-08-01 00:00:17,0,0,NA
59512648,"001970A2F1D0",121.435725,25.02461,-51,1,466011500791253,51251990,NA,NA,NA,NA,2016-08-01 00:00:17,0,0,0
59512652,"001970C11927",121.490542,25.068612,-37,92,466924251106574,29935895,NA,NA,NA,NA,2016-08-01 00:00:18,0,0,27
59512653,"001970C1422F",121.77271,24.708954,-72,1,466011501246406,0,-150,0,NA,9507431,2016-08-01 00:00:18,0,0,NA
59512654,"001970C13F7B",120.246609,23.235759,-63,92,466924251104918,157866765,-150,0,NA,46055703,2016-08-01 00:00:19,0,0,NA
59512655,"001970C1418F",120.476241,23.713404,-68,1,466011500791243,33383219,-150,0,NA,46210200,2016-08-01 00:00:19,0,0,NA
59512656,"001970C1172D",120.496855,23.899145,-57,92,466924251101817,132234007,NA,NA,NA,NA,2016-08-01 00:00:20,0,0,87
59512657,"001970C11D0D",120.236072,23.188637,-65,1,466011501246357,47598568,NA,NA,NA,NA,2016-08-01 00:00:20,0,0,72
59512658,"001970C14199",121.51538,25.053779,-150,0,NA,22264740,-24,1,466011500791244,25633557,2016-08-01 00:00:20,1,0,NA
59512659,"001970C1406B",121.295501,25.03608,-52,92,466924100841135,81570069,-150,0,NA,17047566,2016-08-01 00:00:20,0,0,NA
59512660,"001970A2F148",120.521308,22.652905,-66,1,466011500791272,186976289,NA,NA,NA,NA,2016-08-01 00:00:20,1,0,0
59512661,"001970C118F1",0,0,-76,92,466924251106539,29388833,NA,NA,NA,NA,2016-08-01 00:00:20,0,0,0
59512662,"001970C141CF",121.448345,25.071521,-150,0,NA,46295600,-70,1,466011500790699,20609160,2016-08-01 00:00:21,0,0,NA
59512664,"001970C140DF",120.204952,23.033609,-49,1,466011501250454,47699856,-150,0,NA,31023257,2016-08-01 00:00:21,0,0,NA
59512665,"001970C1403D",120.22749,22.999981,-68,92,466924251104881,40175239,-150,0,NA,40098711,2016-08-01 00:00:21,0,0,NA
59512666,"001970C14213",121.512029,25.05394,-56,92,466924251104992,15530548,-150,0,NA,20136755,2016-08-01 00:00:21,1,0,NA
59512667,"001970C1412F",120.703299,24.315883,-72,92,466924251104907,106124831,-150,0,NA,22085848,2016-08-01 00:00:21,0,0,NA
59512668,"001970C11D2B",120.435165,23.601233,-67,1,466011501246398,180484620,NA,NA,NA,NA,2016-08-01 00:00:21,0,0,100
59512669,"001970C1190F",121.284445,25.02842,-65,92,466924251106566,80180237,NA,NA,NA,NA,2016-08-01 00:00:21,0,0,90
59512670,"001970C14155",121.516995,25.050376,-47,1,466011500791416,0,-150,0,NA,17756911,2016-08-01 00:00:21,1,0,NA
59512672,"001970C141A1",0,0,-48,1,466011500791248,0,-150,0,NA,46079117,2016-08-01 00:00:22,0,0,NA
59512673,"001970C11CF5",121.023308,24.873882,-46,1,466011501246349,57419276,NA,NA,NA,NA,2016-08-01 00:00:22,0,0,89
59512674,"001970C1425F",120.422247,23.484473,-70,1,466011500790701,47470540,-150,0,NA,31023256,2016-08-01 00:00:22,0,0,NA
59512675,"001970C140E5",121.243639,24.994518,-65,1,466011501250457,0,-150,0,NA,16717378,2016-08-01 00:00:22,0,0,NA
59512676,"001970C13F71",121.149065,24.89988,-59,1,466011500798673,0,-150,0,NA,16773938,2016-08-01 00:00:22,0,0,NA
59512677,"001970C1413D",120.327878,22.688194,-80,92,466924251104947,46331034,-150,0,NA,45998248,2016-08-01 00:00:22,0,0,NA
59512678,"001970C13FEB",120.509949,23.995103,-59,1,466011501250250,0,-150,0,NA,31088829,2016-08-01 00:00:23,0,0,NA
59512680,"001970C11713",121.232303,25.078783,-48,92,466924251101839,81517857,NA,NA,NA,NA,2016-08-01 00:00:23,0,0,28
59512681,"001970C1590F",120.970872,24.73758,-79,97,466977100566684,78850160,NA,NA,NA,NA,2016-08-01 00:00:23,0,0,101
59512682,"001970C140FF",121.122993,24.785906,-78,92,466924251104936,23119085,-150,0,NA,16492150,2016-08-01 00:00:23,0,0,NA
59512683,"001970C11CC9",120.636415,24.16897,-54,1,466011501246331,130593815,NA,NA,NA,NA,2016-08-01 00:00:23,1,0,21
59512684,"001970C11A29",120.407923,23.493573,-77,1,466011501246515,179225888,NA,NA,NA,NA,2016-08-01 00:00:23,0,0,0
59512685,"001970C14059",120.590623,24.116834,-88,92,466924251104925,31042857,-150,0,NA,31004554,2016-08-01 00:00:23,0,0,NA
59512688,"001970C11CF1",0,0,-39,1,466011501246347,51244576,NA,NA,NA,NA,2016-08-01 00:00:24,0,0,0
59512689,"001970C14167",120.330116,22.710811,-150,0,NA,54726024,-45,1,466011500791231,184354837,2016-08-01 00:00:24,0,0,NA
59512690,"001970C13FB1",121.498551,25.059318,-58,1,466011500798685,0,-150,0,NA,17700388,2016-08-01 00:00:24,0,0,NA
59512691,"001970C141C7",120.276128,22.646741,-73,1,466011500790695,54745622,-150,0,NA,31023256,2016-08-01 00:00:25,0,0,NA
59512692,"001970C158FD",120.39307,23.496658,-55,97,466977100566675,153613423,NA,NA,NA,NA,2016-08-01 00:00:25,1,0,116
59512693,"001970C1191D",120.758288,24.39295,-64,92,466924251106569,106915351,NA,NA,NA,NA,2016-08-01 00:00:25,0,0,87
59512694,"001970C14089",120.409594,23.488525,-56,92,466924251104927,33544126,-150,0,NA,33544126,2016-08-01 00:00:25,0,0,NA
59512695,"001970A2F168",120.276353,22.646803,-56,92,466924100841079,183420193,NA,NA,NA,NA,2016-08-01 00:00:25,0,0,0
59512696,"001970C140B5",121.097311,24.889722,-33,92,466924251104899,80495373,-150,0,NA,16773936,2016-08-01 00:00:25,0,0,NA
59512697,"001970C14229",121.772435,24.827767,-51,1,466011501246403,33280012,-150,0,NA,13318490,2016-08-01 00:00:25,0,0,NA
59512698,"001970C14189",120.275834,22.647066,-150,0,NA,31023257,-65,1,466011500791240,54740115,2016-08-01 00:00:25,0,0,NA
59512699,"001970C11731",121.498515,25.059062,-41,92,466924251101818,28922635,NA,NA,NA,NA,2016-08-01 00:00:26,0,0,0
59512700,"001970C158F5",120.701198,24.311317,-42,97,466977100566671,107776623,NA,NA,NA,NA,2016-08-01 00:00:26,0,0,92
59512701,"001970C11DB1",121.578068,25.058853,-55,1,466011501250469,25823521,NA,NA,NA,NA,2016-08-01 00:00:26,0,0,0
59512702,"001970C140CD",120.236431,23.203628,-69,92,466924251104935,0,-150,0,NA,27579999,2016-08-01 00:00:26,0,0,NA
59512704,"001970C11DB5",121.611167,25.061162,-46,97,466977100566658,29225841,NA,NA,NA,NA,2016-08-01 00:00:27,0,0,57
59512705,"001970C158F7",120.213318,23.002988,-59,97,466977100566672,180224369,NA,NA,NA,NA,2016-08-01 00:00:27,1,0,30
59512706,"001970C14033",121.494091,25.056821,-43,92,466924251104914,30695713,-150,0,NA,8049256,2016-08-01 00:00:27,0,0,NA
59512707,"001970C1166F",120.572643,23.641812,-59,92,466924251101836,131384343,NA,NA,NA,NA,2016-08-01 00:00:28,0,0,95
59512708,"001970C140BD",120.294523,23.306349,-65,1,466011500791404,47338036,-150,0,NA,26581660,2016-08-01 00:00:28,0,0,NA
59512709,"001970C13F8B",120.662754,24.12312,-68,1,466011500798678,0,-150,0,NA,33702462,2016-08-01 00:00:28,0,0,NA
59512710,"001970C141E1",0,0,-150,0,NA,27505860,-54,1,466011500790700,184361760,2016-08-01 00:00:28,0,0,NA
59512711,"001970C11CFB",120.208778,23.012032,-59,1,466011501246352,181767457,NA,NA,NA,NA,2016-08-01 00:00:29,0,0,39
59512712,"001970C141B7",120.528567,24.0868,-69,92,466924251104974,31041533,-150,0,NA,30957872,2016-08-01 00:00:29,0,0,NA
59512714,"001970C14085",121.370011,25.064874,-49,1,466011500791258,51653654,-150,0,NA,14677926,2016-08-01 00:00:30,1,0,NA
59512715,"001970C1424B",120.718009,24.333843,-150,0,NA,31004554,-69,92,466924251104996,105437463,2016-08-01 00:00:30,0,0,NA
59512716,"001970C14043",120.670383,24.17596,-66,1,466011500798707,0,-150,0,NA,20470711,2016-08-01 00:00:30,0,0,NA
59512717,"001970A2F1C6",120.92632,24.702008,-55,92,466924200869586,106777879,NA,NA,NA,NA,2016-08-01 00:00:31,0,0,95
59512718,"001970C11945",120.494423,23.892778,-56,92,466924251106585,131811597,NA,NA,NA,NA,2016-08-01 00:00:31,0,0,92
59512719,"001970C14105",120.682024,24.135929,-50,92,466924251104895,107426839,-150,0,NA,21532391,2016-08-01 00:00:31,1,0,NA
59512720,"001970C1403B",120.928715,24.705527,-44,92,466924251104920,105923351,-150,0,NA,33763,2016-08-01 00:00:31,0,0,NA
59512721,"001970C11747",0,0,-54,92,466924251101844,105410849,NA,NA,NA,NA,2016-08-01 00:00:31,0,0,0
59512722,"001970C14069",0,0,-61,92,466924251104876,33141261,-150,0,NA,26457780,2016-08-01 00:00:31,0,0,NA
59512724,"001970C158F3",120.204757,23.033537,-48,97,466977100566670,181509231,NA,NA,NA,NA,2016-08-01 00:00:32,0,0,0
59512725,"001970C11711",120.213317,22.999502,-58,92,466924251101814,157378061,NA,NA,NA,NA,2016-08-01 00:00:33,1,0,0
59512726,"001970C1194F",120.355427,23.391588,-67,92,466924251106590,157855501,NA,NA,NA,NA,2016-08-01 00:00:33,0,0,107
59512727,"001970C140BF",0,0,-74,1,466011500791405,47830359,-150,0,NA,26601439,2016-08-01 00:00:33,0,0,NA
59512728,"001970C14123",120.216285,23.022062,-34,92,466924251104897,157776929,-150,0,NA,28363351,2016-08-01 00:00:33,0,0,NA
59512729,"001970C11785",121.39689,25.077757,-53,92,466924100841032,30666765,NA,NA,NA,NA,2016-08-01 00:00:33,1,0,0
59512730,"001970C11675",121.219095,24.97251,-67,1,466011500798632,53786380,NA,NA,NA,NA,2016-08-01 00:00:33,0,0,91
59512731,"001970C1191F",0,0,-38,92,466924251106570,157883927,NA,NA,NA,NA,2016-08-01 00:00:34,0,0,0
59512732,"001970C11787",121.192515,24.940488,-39,92,466924100841037,80253717,NA,NA,NA,NA,2016-08-01 00:00:34,0,0,94
59512733,"001970C1170D",121.280638,25.024662,-43,92,466924251101813,81759755,NA,NA,NA,NA,2016-08-01 00:00:34,0,0,88
59512734,"001970C140CF",121.51807,25.054671,-48,92,466924251104938,54419735,-150,0,NA,9176221,2016-08-01 00:00:34,1,0,NA
59512735,"001970C1403F",120.248905,23.000681,-78,92,466924251104898,40238488,-150,0,NA,40229946,2016-08-01 00:00:34,0,0,NA
59512736,"001970C11685",121.369228,25.065822,-48,92,466924100841127,28981271,NA,NA,NA,NA,2016-08-01 00:00:34,1,0,16
59512737,"001970C13FCB",121.514248,25.053765,-38,92,466924100841129,54421279,0,0,NA,0,2016-08-01 00:00:35,1,0,NA
59512738,"001970A2F19A",121.01521,24.867915,-72,92,466924100841078,23230213,NA,NA,NA,NA,2016-08-01 00:00:35,0,0,95
59512739,"001970C1421B",0,0,-60,1,466011501246400,25717536,-150,0,NA,7426796,2016-08-01 00:00:35,0,0,NA
59512740,"001970C11C87",121.517685,25.053638,-51,1,466011501246518,26114061,NA,NA,NA,NA,2016-08-01 00:00:35,1,0,0
59512741,"001970C13F79",120.345386,23.365204,-76,92,466924251104894,40118185,-150,0,NA,28526712,2016-08-01 00:00:35,0,0,NA
59512742,"001970C11D29",121.020482,24.847043,-55,1,466011501246397,56332823,NA,NA,NA,NA,2016-08-01 00:00:36,0,0,100
59512744,"001970C141A9",121.299444,25.039329,-63,92,466924251104967,20511503,-150,0,NA,31108829,2016-08-01 00:00:36,0,0,NA
59512746,"001970A2F1CC",0,0,-55,92,466924100841061,107385889,NA,NA,NA,NA,2016-08-01 00:00:37,0,0,0
59512747,"001970C118A1",121.765345,24.803932,-69,92,466924251106501,208156695,NA,NA,NA,NA,2016-08-01 00:00:37,0,0,66
59512748,"001970C11A27",121.505157,25.049415,-61,1,466011501246514,26134049,NA,NA,NA,NA,2016-08-01 00:00:37,0,0,39
59512749,"001970C11D09",121.437585,25.064178,-50,1,466011501246355,51361805,NA,NA,NA,NA,2016-08-01 00:00:37,0,0,0
59512750,"001970C13FD1",120.820234,24.267914,-73,1,466011500798689,0,-150,0,NA,14384866,2016-08-01 00:00:37,0,0,NA
59512751,"001970C141E3",121.280551,25.02476,-50,1,466011500790711,14425635,-150,0,NA,46109711,2016-08-01 00:00:37,0,0,NA
59512755,"001970C1404F",120.622414,24.179094,-64,1,466011500790703,33717665,-150,0,NA,33544126,2016-08-01 00:00:38,0,0,NA
59512756,"001970C11941",120.687952,24.235898,-57,92,466924251106583,106100503,NA,NA,NA,NA,2016-08-01 00:00:38,0,0,101
59512757,"001970C14003",120.439755,23.479984,-65,1,466011500798703,179202828,-150,0,NA,33534071,2016-08-01 00:00:38,1,0,NA
59512758,"001970C13FA7",120.798338,24.50495,-54,92,466924251104877,105928717,-150,0,NA,21198128,2016-08-01 00:00:38,0,0,NA
59512759,"001970C14263",0,0,-150,0,NA,29717214,-64,1,466011500790715,184557077,2016-08-01 00:00:39,0,0,NA
59512760,"001970C11CDB",121.155345,24.901357,-57,1,466011501246340,53791766,NA,NA,NA,NA,2016-08-01 00:00:39,0,0,79
59512761,"001970C11909",120.431212,23.587293,-53,92,466924251106563,157518349,NA,NA,NA,NA,2016-08-01 00:00:39,0,0,100
59512762,"001970C140CB",121.505092,25.049954,-55,92,466924251104940,15467664,-150,0,NA,15508805,2016-08-01 00:00:39,0,0,NA
59512763,"001970C1405D",121.428132,25.068194,-42,92,466924251104930,28746517,-150,0,NA,14620334,2016-08-01 00:00:39,0,0,NA
59512764,"001970C13FE9",120.696718,24.299198,-74,1,466011501250249,0,-150,0,NA,23167894,2016-08-01 00:00:39,0,0,NA
59512766,"001970C1411F",120.824065,24.526773,-71,1,466011500791409,0,-150,0,NA,23715,2016-08-01 00:00:40,0,0,NA
59512767,"001970C1409F",121.518189,25.06313,-54,1,466011500790707,0,-150,0,NA,26570863,2016-08-01 00:00:40,1,0,NA
